ID;NAME;DESCRIPTION;PARENTCODE;ORDER
TOTAL;Mensual;(TOTAL) Mensual;;0
201907;2019-Julio;(201907) 2019-Julio;;201907
201908;2019-Agosto;(201908) 2019-Agosto;;201908
201909;2019-Septiembre;(201909) 2019-Septiembre;;201909
201910;2019-Octubre;(201910) 2019-Octubre;;201910
201911;2019-Noviembre;(201911) 2019-Noviembre;;201911
201912;2019-Diciembre;(201912) 2019-Diciembre;;201912
201801;2018-Enero;(201801) 2018-Enero;;201801
201802;2018-Febrero;(201802) 2018-Febrero;;201802
201803;2018-Marzo;(201803) 2018-Marzo;;201803
201804;2018-Abril;(201804) 2018-Abril;;201804
